,Addendum A.- OPPS APCs for CY 2025,,,,,,,,,,
,Inflation-adjusted 3-digit coinsurance percentage may not precisely reflect the copayment amount due to rounding calculations.,,,,,,,,,,
APC,Group Title,SI,Relative Weight,Payment Rate,National Unadjusted Copayment,Minimum Unadjusted Copayment,IRA Coinsurance percentage,Adjusted Beneficiary Copayment,Drug and Device Pass-Through Expiration during Calendar Year,Note,
0759,"Naltrexone, depot form",K,,$4.123,.,$0.83,,$0.83,,,
0760,Tc-99m graphite crucible,G,,$328.600,.,$0.00,,$0.00,,,
0761,"Inj, focinvez, 1mg",G,,$3.116,.,$0.63,,$0.63,,,
0762,"Bupivacaine implant, 1 mg",K1,,$0.859,.,$0.18,,$0.18,,,
0763,"Inj, bupivacaine liposome",K1,,$1.445,.,$0.29,,$0.29,,,
0764,Ketorolac tromethamine inj,K1,,$0.751,.,$0.16,,$0.16,,,
0765,"Inj, donanemab-azbt, 2 mg",G,,$4.094,.,$0.82,,$0.82,,,
0766,Tc99m exametazime,K,,$802.340,,$160.47,,$160.47,,,
0767,"Inj, nogapendekin pmln 1 mcg",G,,$94.870,.,$18.98,,$18.98,,,
0768,"Inj, tarlatamab-dlle, 1 mg",G,,"$1,575.419",.,$315.09,,$315.09,,,
0769,"In111 ibritumomab, dx",K,,$798.020,.,$159.61,,$159.61,,,
0770,In111 oxyquinoline,K,,$772.640,.,$154.53,,$154.53,,,
0771,In111 pentetate,K,,$715.290,.,$143.06,,$143.06,,,
0772,"Inj, pegulicianine, 1 mg",G,,$37.508,.,$0.00,,$0.00,,,
0773,"Inj, beqvez, per tx dose",G,,"$3,710,000.000",.,"$742,000.00",,"$1,676.00",,"Copayments capped at inpatient deductible of $1,676.00.",
0774,Tc99m bicisate,K,,$683.800,.,$136.76,,$136.76,,,
0775,Technetium tc99m arcitumomab,K,,$809.510,.,$161.91,,$161.91,,,
0776,Technetium tc-99m auto wbc,K,,"$1,040.320",.,$208.07,,$208.07,,,
0777,Indium in-111 auto wbc,K,,"$1,031.390",.,$206.28,,$206.28,,,
0778,"Inj, vasopressin (baxter)",G,,$3.634,.,$0.73,,$0.73,,,
0779,Indium in-111 pentetreotide,K,,"$1,914.610",.,$382.93,,$382.93,,,
0780,Iodine i-123 iobenguane,K,,"$2,074.810",.,$414.97,,$414.97,,,
0781,Iodine i-123 ioflupane,K,,"$1,388.020",.,$277.61,,$277.61,,,
0782,"Inj, pemrydi rtu, 10 mg",G,,$82.135,.,$16.43,,$16.43,,,
0784,"Inj, tyenne, 1 mg",G,,$4.106,.,$0.83,,$0.83,,8% of reference add-on applied,
0785,"Inj, cyclophosphamd, sandoz",K,,$4.351,.,$0.88,,$0.88,,,
0786,"Inj, tofidence, 1 mg",G,,$5.996,.,$1.20,,$1.20,,8% of reference add-on applied,
0788,"Inj cefazolin sodium, hikma",K,,$1.003,.,$0.21,,$0.21,,,
0789,Inj daptomycin (xellia),K,,$0.037,.,$0.01,,$0.01,,,
0790,"Inj, methylpred acetate 1 mg",K,,$0.117,.,$0.03,,$0.03,,,
0791,"Inj, hydromorphone, 0.1 mg",K,,$0.089,.,$0.02,,$0.02,,,
0792,"Inj, glycopyrrolate, 0.1 mg",K,,$0.576,.,$0.12,,$0.12,,,
0793,Inj glycopyrrolate fres kabi,K,,$2.019,.,$0.41,,$0.41,,,
0794,"Inj, bumetanide, 0.5 mg",K,,$0.579,.,$0.12,,$0.12,,,
0795,"Inj, lidocaine in d5w, 1 mg",K,,$0.003,$0.00,$0.01,,$0.01,,,
0796,Inj meropenem (wg crit care),K,,$1.654,.,$0.34,,$0.34,,,
0797,"Inj, immphentiv, 20 mcg",K,,$0.139,.,$0.03,,$0.03,,,
0798,"Inj, sezaby, 1 mg",K,,$0.652,.,$0.14,,$0.14,,,
0799,Inj fluphenazine hcl 1.25 mg,K,,$7.693,.,$1.54,,$1.54,,,
0800,Leuprolide acetate,K,,"$1,666.776",.,$333.36,18.865%,$314.44,,Inflation-Adjusted Coinsurance,
