zip1,zip2,miles_to_zcta5
00602,00921,71.4022477
00921,00602,71.4022477
00602,00923,74.7062767
00923,00602,74.7062767
00602,00924,76.3005268
00924,00602,76.3005268
00602,00925,73.8121660
00925,00602,73.8121660
00602,00926,73.5625102
00926,00602,73.5625102
00602,00927,72.5150466
00927,00602,72.5150466
00602,00934,69.3120555
00934,00602,69.3120555
00602,00949,62.2553070
00949,00602,62.2553070
00602,00950,61.8981556
00950,00602,61.8981556
00602,00951,60.2176253
00951,00602,60.2176253
00602,00952,64.8529048
00952,00602,64.8529048
00602,00953,60.5966136
00953,00602,60.5966136
00602,00956,65.9830809
00956,00602,65.9830809
00602,00957,64.6989265
00957,00602,64.6989265
00602,00959,66.8989060
00959,00602,66.8989060
00602,00960,67.8288009
00960,00602,67.8288009
00602,00961,66.4513069
00961,00602,66.4513069
00602,00962,68.4022796
00962,00602,68.4022796
00602,00965,69.9635677
00965,00602,69.9635677
00602,00966,69.6559825
00966,00602,69.6559825
00602,00968,70.5088951
00968,00602,70.5088951
00602,00969,69.8736968
00969,00602,69.8736968
00602,00971,69.3468696
00971,00602,69.3468696
00602,00976,77.5033517
00976,00602,77.5033517
00602,00979,77.3081868
00979,00602,77.3081868
00602,00982,77.7193281
00982,00602,77.7193281
00602,00983,78.3959678
00983,00602,78.3959678
00602,00985,80.5642689
00985,00602,80.5642689
00602,00987,80.7923668
00987,00602,80.7923668
00603,00606,24.1974353
00606,00603,24.1974353
00603,00610,11.1997166
00610,00603,11.1997166
00603,00611,24.3012362
00611,00603,24.3012362
00603,00612,27.9842921
00612,00603,27.9842921
00603,00616,29.7944745
00616,00603,29.7944745
00603,00617,36.9535544
00617,00603,36.9535544
00603,00622,32.5088099
00622,00603,32.5088099
00603,00623,25.8695597
00623,00603,25.8695597
00603,00624,38.5371693
00624,00603,38.5371693
00603,00627,17.3981667
00627,00603,17.3981667
00603,00631,26.9835848
00631,00603,26.9835848
00603,00636,20.5108991
00636,00603,20.5108991
00603,00637,28.5355056
00637,00603,28.5355056
00603,00638,41.9416290
00638,00603,41.9416290
00603,00641,30.6729153
00641,00603,30.6729153
00603,00646,54.9759164
00646,00603,54.9759164
00603,00647,36.0566112
00647,00603,36.0566112
00603,00650,36.6162977
00650,00603,36.6162977
00603,00652,34.7917215
00652,00603,34.7917215
00603,00653,35.5458587
00653,00603,35.5458587
00603,00656,36.2437544
00656,00603,36.2437544
00603,00659,20.9923275
00659,00603,20.9923275
00603,00660,22.3039724
00660,00603,22.3039724
00603,00662,7.1908414
00662,00603,7.1908414
00603,00664,38.9176709
00664,00603,38.9176709
00603,00667,31.9066505
00667,00603,31.9066505
00603,00669,20.8735404
00669,00603,20.8735404
00603,00670,17.8939962
00670,00603,17.8939962
00603,00674,41.8138333
00674,00603,41.8138333
00603,00676,5.9786012
00676,00603,5.9786012
00603,00677,10.9200868
00677,00603,10.9200868
00603,00678,12.8758424
00678,00603,12.8758424
00603,00680,18.9327192
00680,00603,18.9327192
00603,00682,16.1790034
00682,00603,16.1790034
00603,00683,24.8293187
00683,00603,24.8293187
00603,00685,12.9831118
00685,00603,12.9831118
00603,00687,47.1826743
00687,00603,47.1826743
00603,00688,33.0860742
00688,00603,33.0860742
00603,00690,3.0970810
00690,00603,3.0970810
00603,00692,51.7962729
00692,00603,51.7962729
00603,00693,47.6856893
00693,00603,47.6856893
00603,00694,48.0371980
00694,00603,48.0371980
00603,00698,32.0647565
00698,00603,32.0647565
00603,00703,66.7788354
00703,00603,66.7788354
00603,00704,67.6484697
00704,00603,67.6484697
00603,00705,60.6991779
00705,00603,60.6991779
00603,00707,84.7474416
00707,00603,84.7474416
00603,00714,77.0823486
00714,00603,77.0823486
00603,00715,48.8392279
00715,00603,48.8392279
00603,00716,47.1342371
00716,00603,47.1342371
00603,00717,46.0880311
00717,00603,46.0880311
00603,00718,91.1112689
00718,00603,91.1112689
00603,00719,58.3002915
00719,00603,58.3002915
00603,00720,48.9041052
00720,00603,48.9041052
00603,00723,79.6673758
00723,00603,79.6673758
00603,00725,73.0324258
00725,00603,73.0324258
00603,00727,71.0192599
00727,00603,71.0192599
00603,00728,44.2383738
00728,00603,44.2383738
00603,00729,81.5924774
00729,00603,81.5924774
00603,00730,44.7368182
00730,00603,44.7368182
00603,00731,40.0815885
00731,00603,40.0815885
00603,00735,96.7386611
00735,00603,96.7386611
00603,00736,68.3670142
00736,00603,68.3670142
00603,00738,94.1055946
00738,00603,94.1055946
00603,00739,66.0848949
00739,00603,66.0848949
00603,00740,98.2683191
00740,00603,98.2683191
00603,00741,92.1779666
00741,00603,92.1779666
00603,00745,86.4468629
00745,00603,86.4468629
00603,00751,64.6689421
00751,00603,64.6689421
00603,00754,78.6382533
00754,00603,78.6382533
00603,00757,57.3148505
00757,00603,57.3148505
00603,00766,48.3984546
00766,00603,48.3984546
00603,00767,84.9652957
00767,00603,84.9652957
00603,00769,56.1285945
00769,00603,56.1285945
00603,00771,84.3226760
00771,00603,84.3226760
00603,00772,79.9490104
00772,00603,79.9490104
00603,00773,92.2404068
00773,00603,92.2404068
00603,00777,81.3450419
00777,00603,81.3450419
00603,00778,76.3508486
00778,00603,76.3508486
00603,00780,44.4481132
00780,00603,44.4481132
00603,00782,61.1967128
00782,00603,61.1967128
00603,00783,53.3069913
00783,00603,53.3069913
00603,00784,71.9998275
00784,00603,71.9998275
00603,00786,62.8498478
00786,00603,62.8498478
00603,00791,88.7749416
00791,00603,88.7749416
00603,00794,56.3711633
00794,00603,56.3711633
00603,00795,50.1359161
00795,00603,50.1359161
00603,00901,66.6469916
00901,00603,66.6469916
00603,00906,67.4972778
00906,00603,67.4972778
00603,00907,67.9818636
00907,00603,67.9818636
00603,00909,69.2281763
00909,00603,69.2281763
00603,00911,70.0316825
00911,00603,70.0316825
00603,00912,69.8019463
00912,00603,69.8019463
00603,00913,70.8006638
00913,00603,70.8006638
00603,00915,70.7540577
00915,00603,70.7540577
00603,00917,70.4921596
00917,00603,70.4921596
00603,00918,69.2449617
00918,00603,69.2449617
00603,00920,67.7339886
00920,00603,67.7339886
00603,00921,68.1761722
00921,00603,68.1761722
00603,00923,71.3566972
00923,00603,71.3566972
00603,00924,73.0214970
00924,00603,73.0214970
00603,00925,70.5294003
00925,00603,70.5294003
00603,00926,70.6117984
00926,00603,70.6117984
00603,00927,69.3118943
00927,00603,69.3118943
00603,00934,65.9492064
00934,00603,65.9492064
00603,00949,58.9162203
00949,00603,58.9162203
00603,00950,58.1314555
00950,00603,58.1314555
00603,00951,56.7386788
00951,00603,56.7386788
00603,00952,61.3775409
00952,00603,61.3775409
00603,00953,57.6423276
00953,00603,57.6423276
00603,00956,63.2827128
00956,00603,63.2827128
00603,00957,61.6777795
00957,00603,61.6777795
00603,00959,63.7269929
00959,00603,63.7269929
00603,00960,64.4391399
00960,00603,64.4391399
00603,00961,63.1103405
00961,00603,63.1103405
00603,00962,64.8566928
00962,00603,64.8566928
00603,00965,66.4845613
00965,00603,66.4845613
00603,00966,66.3945704
00966,00603,66.3945704
00603,00968,67.1918443
00968,00603,67.1918443
00603,00969,66.8256213
00969,00603,66.8256213
00603,00971,66.6286405
00971,00603,66.6286405
00603,00976,74.6070993
00976,00603,74.6070993
00603,00979,73.7930526
00979,00603,73.7930526
00603,00982,74.3812572
00982,00603,74.3812572
00603,00983,75.0073909
00983,00603,75.0073909
00603,00985,77.2132770
00985,00603,77.2132770
00603,00987,77.8300563
00987,00603,77.8300563
00606,00610,15.7720151
00610,00606,15.7720151
00606,00611,11.6011037
00611,00606,11.6011037
00606,00612,23.4964393
00612,00606,23.4964393
00606,00616,24.9188276
00616,00606,24.9188276
00606,00617,31.5003038
00617,00606,31.5003038
00606,00622,19.0128712
00622,00606,19.0128712
00606,00623,15.6855542
00623,00606,15.6855542
00606,00624,15.7026961
00624,00606,15.7026961
00606,00627,18.1341618
00627,00606,18.1341618
00606,00631,6.9406879
00631,00606,6.9406879
00606,00636,9.6687327
00636,00606,9.6687327
00606,00637,5.4943425
00637,00606,5.4943425
00606,00638,28.8101933
00638,00606,28.8101933
00606,00641,16.9598915
00641,00606,16.9598915
00606,00646,46.4561921
00646,00606,46.4561921
00606,00647,13.4857496
00647,00606,13.4857496
00606,00650,26.7578548
00650,00606,26.7578548
00606,00652,29.9297866
00652,00606,29.9297866
00606,00653,11.9023101
00653,00606,11.9023101
00606,00656,12.4426681
00656,00606,12.4426681
00606,00659,19.0273480
00659,00606,19.0273480
00606,00660,12.1432885
00660,00606,12.1432885
00606,00662,22.0954187
00662,00606,22.0954187
00606,00664,22.6909265
00664,00606,22.6909265
00606,00667,12.6576257
00667,00606,12.6576257
00606,00669,9.1885007
00669,00606,9.1885007
00606,00670,6.3173644
00670,00606,6.3173644
00606,00674,34.4917156
00674,00606,34.4917156
00606,00676,18.2266575
00676,00606,18.2266575
00606,00677,22.7455770
00677,00606,22.7455770
00606,00678,18.8062568
00678,00606,18.8062568
00606,00680,13.2523908
00680,00606,13.2523908
00606,00682,15.2151587
00682,00606,15.2151587
00606,00683,7.6890642
00683,00606,7.6890642
00606,00685,12.6134517
00685,00606,12.6134517
00606,00687,35.3973625
00687,00606,35.3973625
00606,00688,25.3766399
00688,00606,25.3766399
00606,00690,25.5368061
00690,00606,25.5368061
00606,00692,42.8546183
00692,00606,42.8546183
00606,00693,39.6606042
00693,00606,39.6606042
00606,00694,41.9616625
00694,00606,41.9616625
00606,00698,7.9772843
00698,00606,7.9772843
00606,00703,53.0236233
00703,00606,53.0236233
00606,00704,47.9754798
00704,00606,47.9754798
00606,00705,43.7908067
00705,00606,43.7908067
00606,00707,67.2224187
00707,00606,67.2224187
00606,00714,58.7130740
00714,00606,58.7130740
00606,00715,26.7376853
00715,00606,26.7376853
00606,00716,24.5460206
00716,00606,24.5460206
00606,00717,23.7186176
00717,00606,23.7186176
00606,00718,77.4170234
00718,00606,77.4170234
00606,00719,45.5106908
00719,00606,45.5106908
00606,00720,33.6693479
00720,00606,33.6693479
00606,00723,61.9004633
00723,00606,61.9004633
00606,00725,58.7980773
00725,00606,58.7980773
00606,00727,56.5457747
00727,00606,56.5457747
00606,00728,21.1653435
00728,00606,21.1653435
00606,00729,69.7039378
00729,00606,69.7039378
00606,00730,22.8471977
00730,00606,22.8471977
00606,00731,19.8057053
00731,00606,19.8057053
00606,00735,83.4310394
00735,00606,83.4310394
00606,00736,51.4387658
00736,00606,51.4387658
00606,00738,81.6221776
00738,00606,81.6221776
00606,00739,50.6180980
00739,00606,50.6180980
00606,00740,86.2453104
00740,00606,86.2453104
00606,00741,77.3963937
00741,00606,77.3963937
00606,00745,74.8293231
00745,00606,74.8293231
00606,00751,45.2850333
00751,00606,45.2850333
00606,00754,63.0802699
00754,00606,63.0802699
00606,00757,36.7094587
00757,00606,36.7094587
00606,00765,99.1633691
00765,00606,99.1633691
00606,00766,30.3075285
00766,00606,30.3075285
00606,00767,68.3682960
00767,00606,68.3682960
00606,00769,37.9700678
00769,00606,37.9700678
00606,00771,69.7284061
00771,00606,69.7284061
00606,00772,70.1496985
00772,00606,70.1496985
00606,00773,80.4030593
00773,00606,80.4030593
00606,00777,67.3595841
00777,00606,67.3595841
00606,00778,63.0655363
00778,00606,63.0655363
00606,00780,24.5138590
00780,00606,24.5138590
00606,00782,46.7291367
00782,00606,46.7291367
00606,00783,40.8324489
00783,00606,40.8324489
00606,00784,53.4804849
00784,00606,53.4804849
00606,00786,46.2637833
00786,00606,46.2637833
00606,00791,73.5496307
00791,00606,73.5496307
00606,00794,41.0402246
00794,00606,41.0402246
00606,00795,29.7719294
00795,00606,29.7719294
00606,00901,58.1526223
00901,00606,58.1526223
00606,00906,58.8933232
00906,00606,58.8933232
00606,00907,59.0516635
00907,00606,59.0516635
00606,00909,59.9638586
00909,00606,59.9638586
00606,00911,61.0145929
00911,00606,61.0145929
00606,00912,60.5965779
00912,00606,60.5965779
00606,00913,61.9943430
00913,00606,61.9943430
00606,00915,61.3160805
00915,00606,61.3160805
00606,00917,60.6860851
00917,00606,60.6860851
00606,00918,59.5321953
00918,00606,59.5321953
00606,00920,58.0981228
00920,00606,58.0981228
00606,00921,57.7954356
00921,00606,57.7954356
00606,00923,61.2886805
00923,00606,61.2886805
00606,00924,62.6325945
00924,00606,62.6325945
00606,00925,60.2527428
00925,00606,60.2527428
00606,00926,59.1562152
00926,00606,59.1562152
00606,00927,58.7994754
00927,00606,58.7994754
00606,00934,56.1701452
00934,00606,56.1701452
00606,00949,49.4392777
00949,00606,49.4392777
00606,00950,50.3365128
00950,00606,50.3365128
00606,00951,47.9313457
00951,00606,47.9313457
00606,00952,52.2607603
00952,00606,52.2607603
00606,00953,46.8457229
00953,00606,46.8457229
00606,00956,51.2860789
00956,00606,51.2860789
00606,00957,50.8821144
00957,00606,50.8821144
00606,00959,53.3632690
00959,00606,53.3632690
00606,00960,54.8347379
00960,00606,54.8347379
00606,00961,53.3959716
00961,00606,53.3959716
